Group	Contenxt	Label
사진 검색	여름에 찍은 사진만 골라서 보여줘	SEARCH
	어제 찍은 사진 뭐 있어?	SEARCH
	꽃이 나온 사진만 보여줘	SEARCH
	바다가 나온 사진	SEARCH
	내가 나온 사진들만 보자	SEARCH
	닉이 나온 사진중에서 찰리가 없는 사진들 골라서 보여줘	SEARCH
	나 혼자 나온 사진들 있어?	SEARCH
	작년 겨울에 눈이 많이 온 사진들	SEARCH
	편안해 보이는 사진들 보여줘	SEARCH
	내가 나온 사진들 검색	SEARCH
	올해 겨울에 찍은 사진들 검색	SEARCH
	어제 찍은 사진 중에서 찰리만 나온 것 검색해줘	SEARCH
	갤러리에서 여름 사진 보여줘	SEARCH
	갤러리에서 오늘 찍은 사진만 검색	SEARCH
	올해 겨울에 찍은 사진을 갤러리에서 검색해서 보여줘	SEARCH
	사진첩에서 부산에서 찍은 사진들 알려줘	SEARCH
	사진첩에서 셀카찍은 사진들 검색해봐	SEARCH
	작년에 봄에 찍은 사진 중에서 꽃이 나온 것들만 볼래	SEARCH
	기분이 안좋아, 기분 좋은 사진들만 보고싶어	SEARCH
	작년에 친구들과 찍은 사진들만 보고싶어	SEARCH
	최근에 내가 나온 사진 10개만 보여줘	SEARCH
	오늘찍은 사진 모두 검색	SEARCH
	오키나와에서 엄마와 함께 찍은 사진들만 보여줘	SEARCH
	작년 겨울에 예지와 찍은 사진만 보고싶어	SEARCH
	바다와 관련된 사진들도 보여줘	SEARCH
	잘 기억은 안나지만 작년에 여행가서 찍은 사진 검색해줘	SEARCH
	내 동생이 나온 사진 줘봐 있어?	SEARCH
	눈이 내리는 사진들이 좀 필요해	SEARCH
사진 전송	찰리에게 카카오톡으로 보내줘	SEND
	소피한테 방금 분류한 사진들 전송	SEND
	이 사진들 파이한테 보내줘	SEND
	앞으로 이런 사진들 매주마다 닉한테 전송해줘	SEND
	파이하고 소피한테 방금 검색된 사진들 보내	SEND
	위 사진들 모두 와이프한테 전송해줘	SEND
	매주 월요일마다 비슷한 사진들 엄마한테 보내줘	SEND
	검색된 사진들 중에서 두개만 소피한테 전송	SEND
	검색된 사진들을 파이에게 전송해줘	SEND
	지금 나온 사진중에서 세장만 할머니에게 보내줘	SEND
	이메일로 예지한테 전송해줘	SEND
	방금 검색된 사진들을 내일 보내줘	SEND
	찰리에게 카카오톡으로 보내줘	SEND
	소피한테 방금 분류한 사진들 전송	SEND
	이 사진들 파이한테 보내줘	SEND
	앞으로 이런 사진들 매주마다 닉한테 전송해줘	SEND
	파이하고 소피한테 방금 검색된 사진들 보내	SEND
	위 사진들 모두 와이프한테 전송해줘	SEND
	매주 월요일마다 비슷한 사진들 엄마한테 보내줘	SEND
	검색된 사진들 중에서 두개만 소피한테 전송	SEND
	검색된 사진들을 파이에게 전송해줘	SEND
	지금 나온 사진중에서 세장만 할머니에게 보내줘	SEND
	이메일로 예지한테 전송해줘	SEND
	방금 검색된 사진들을 내일 보내줘	SEND
	그것들 삼촌에게 전송	SEND
	검색된 사진들 친구에게 보내	SEND
	와이프한테 전송	SEND
	친척 누네에게 전달	SEND
